activation,layers,width,mse,mse_left,mse_right,train_time_sec
tanh,7,20,17.021577537059784,16.526472091674805,0.49510544538497925,6.683452129364014
tanh,8,1,32.61057472229004,16.572633743286133,16.037940979003906,6.53803014755249
tanh,8,2,47.07090950012207,16.556236267089844,30.514673233032227,6.7528979778289795
tanh,8,3,53.574697494506836,16.55354881286621,37.021148681640625,6.790577173233032
tanh,8,4,54.10626029968262,16.556520462036133,37.549739837646484,6.661574125289917
tanh,8,5,54.2563591003418,16.558143615722656,37.69821548461914,6.691890001296997
tanh,8,6,54.297142028808594,16.57625961303711,37.720882415771484,6.843422889709473
tanh,8,7,54.27768325805664,16.552608489990234,37.725074768066406,6.936094045639038
tanh,8,8,54.27293586730957,16.547868728637695,37.725067138671875,6.805055856704712
tanh,8,9,54.278642654418945,16.553342819213867,37.72529983520508,7.005908012390137
tanh,8,10,54.27632522583008,16.55103302001953,37.72529220581055,7.063943862915039
tanh,8,11,54.2756290435791,16.550230026245117,37.725399017333984,7.348288059234619
tanh,8,12,54.278099060058594,16.552719116210938,37.725379943847656,7.30213189125061
tanh,8,13,50.903164863586426,13.177887916564941,37.725276947021484,7.471872091293335
tanh,8,14,51.43258190155029,13.707385063171387,37.725196838378906,7.534296274185181
tanh,8,15,14.664281936362386,14.634199142456055,0.030082793906331062,7.800932168960571
tanh,8,16,49.34492111206055,11.619556427001953,37.725364685058594,7.28937292098999
tanh,8,17,54.44405937194824,16.718740463256836,37.725318908691406,7.447242975234985
tanh,8,18,54.158302307128906,16.527877807617188,37.63042449951172,7.447007894515991
tanh,8,19,54.26939392089844,16.544086456298828,37.72530746459961,7.419753789901733
tanh,8,20,20.501004219055176,16.55080795288086,3.9501962661743164,7.442766904830933
tanh,9,1,31.26117515563965,16.556516647338867,14.704658508300781,7.010326862335205
tanh,9,2,42.12276268005371,16.55651092529297,25.566251754760742,7.287742853164673
tanh,9,3,50.56418418884277,16.556039810180664,34.00814437866211,7.22822117805481
tanh,9,4,53.723623275756836,16.5560359954834,37.16758728027344,7.28425407409668
